grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,last_6,last_7,last_8,last_9,last_10,rolling_avg_pos_move_10,propensity_1,propensity_0
1,1,43.0,1,0,,,,,,,,,,,0.0,1.0
6,0,25.0,0,0,,,,,,,,,,,0.0,1.0
17,0,2.0,0,0,,,,,,,,,,,0.0,1.0
11,0,8.0,0,0,,,,,,,,,,,0.0,1.0
16,0,22.0,0,0,,,,,,,,,,,0.0,1.0
7,0,2.0,0,0,,,,,,,,,,,0.0,1.0
4,0,23.0,0,0,,,,,,,,,,,0.0,1.0
8,0,8.0,0,0,,,,,,,,,,,0.0,1.0
3,0,43.0,0,0,,,,,,,,,,,0.0,1.0
2,0,0.0,1,1,,,,,,,,,,,1.0,0.0
4,0,0.0,0,0,0,,,,,,,,,,0.0,1.0
5,0,38.0,0,0,0,,,,,,,,,,0.0,1.0
8,0,25.0,0,0,0,,,,,,,,,,0.0,1.0
14,0,2.0,0,0,0,,,,,,,,,,0.0,1.0
3,1,0.0,2,0,1,,,,,,,,,,0.5,0.5
2,0,68.0,1,1,0,,,,,,,,,,0.5,0.5
11,0,10.0,0,0,0,,,,,,,,,,0.0,1.0
7,0,3.0,0,0,0,,,,,,,,,,0.0,1.0
10,0,0.0,0,0,0,,,,,,,,,,0.0,1.0
1,0,61.0,0,0,0,,,,,,,,,,0.0,1.0
18,0,16.0,0,0,0,,,,,,,,,,0.0,1.0
9,0,0.0,0,0,0,,,,,,,,,,0.0,1.0
14,0,22.0,0,0,0,0,,,,,,,,,0.0,1.0
6,0,35.0,0,0,0,0,,,,,,,,,0.0,1.0
20,0,0.0,0,0,0,0,,,,,,,,,0.0,1.0
10,0,2.0,0,0,0,0,,,,,,,,,0.0,1.0
7,0,49.0,0,0,0,0,,,,,,,,,0.0,1.0
8,0,9.0,0,0,0,0,,,,,,,,,0.0,1.0
1,0,0.0,2,1,0,1,,,,,,,,,0.6666666666666666,0.3333333333333333
2,0,63.0,0,0,0,0,,,,,,,,,0.0,1.0
12,0,11.0,0,0,0,0,,,,,,,,,0.0,1.0
18,0,22.0,0,0,0,0,,,,,,,,,0.0,1.0
13,0,0.0,0,0,0,0,,,,,,,,,0.0,1.0
9,0,18.0,0,0,0,0,,,,,,,,,0.0,1.0
3,1,73.0,1,0,0,0,,,,,,,,,0.0,1.0
17,0,4.0,0,0,,,,,,,,,,,0.0,1.0
4,0,86.0,1,0,1,0,,,,,,,,,0.3333333333333333,0.6666666666666666
2,0,0.0,2,0,1,0,1,,,,,,,,0.5,0.5
19,0,17.0,0,0,0,0,0,,,,,,,,0.0,1.0
18,0,4.0,0,0,0,0,0,,,,,,,,0.0,1.0
16,0,37.0,0,0,0,0,0,,,,,,,,0.0,1.0
9,0,35.0,0,0,0,0,0,,,,,,,,0.0,1.0
13,0,19.0,0,0,0,0,0,,,,,,,,0.0,1.0
7,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
10,0,4.0,0,0,0,0,0,,,,,,,,0.0,1.0
6,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
15,0,5.0,0,0,0,,,,,,,,,,0.0,1.0
17,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
14,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
12,0,34.0,0,0,0,0,0,,,,,,,,0.0,1.0
8,0,18.0,0,0,0,0,0,,,,,,,,0.0,1.0
11,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
1,1,104.0,2,0,0,1,0,,,,,,,,0.25,0.75
7,0,20.0,0,0,0,0,0,0,,,,,,,0.0,1.0
16,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
8,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
17,0,5.0,0,0,0,0,0,0,,,,,,,0.0,1.0
9,0,25.0,0,0,0,0,0,0,,,,,,,0.0,1.0
1,0,75.0,0,0,0,0,0,0,,,,,,,0.0,1.0
2,1,4.0,3,0,0,1,0,1,,,,,,,0.4,0.6
5,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
15,0,4.0,0,0,0,0,0,0,,,,,,,0.0,1.0
4,0,67.0,0,0,0,0,0,0,,,,,,,0.0,1.0
14,0,45.0,0,0,0,0,0,0,,,,,,,0.0,1.0
11,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
6,0,34.0,0,0,0,0,0,0,,,,,,,0.0,1.0
3,0,104.0,1,0,1,0,0,0,,,,,,,0.25,0.75
13,0,129.0,2,1,0,0,1,0,,,,,,,0.4,0.6
19,0,67.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
9,0,4.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
10,0,27.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
2,0,0.0,3,1,0,0,1,0,1,,,,,,0.5,0.5
12,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
1,1,141.0,3,0,1,0,0,1,0,,,,,,0.3333333333333333,0.6666666666666666
8,0,20.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
3,0,129.0,1,0,0,1,0,0,0,,,,,,0.2,0.8
18,0,0.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
4,0,93.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
17,0,5.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
6,0,2.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
14,0,0.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
20,0,10.0,0,0,0,0,0,,,,,,,,0.0,1.0
15,0,0.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
16,0,0.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
10,1,17.0,1,0,0,0,0,0,0,0,,,,,0.0,1.0
19,0,0.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
14,0,10.0,0,0,0,0,0,0,,,,,,,0.0,1.0
3,0,111.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
2,0,139.0,1,0,0,0,1,0,0,0,,,,,0.16666666666666666,0.8333333333333334
4,0,0.0,3,0,1,0,0,1,0,1,,,,,0.42857142857142855,0.5714285714285714
8,0,11.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
17,0,92.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
16,0,0.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
7,0,4.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
15,0,44.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
18,0,0.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
1,0,153.0,3,1,0,1,0,0,1,0,,,,,0.42857142857142855,0.5714285714285714
12,0,2.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
16,0,0.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
7,0,22.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
8,0,171.0,3,0,1,0,1,0,0,1,0,,,,0.375,0.625
1,1,151.0,2,0,0,0,0,1,0,0,0,,,,0.14285714285714285,0.8571428571428571
3,0,136.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
2,0,0.0,3,0,0,1,0,0,1,0,1,,,,0.375,0.625
4,0,18.0,1,1,0,0,0,0,0,0,0,,,,0.16666666666666666,0.8333333333333334
18,0,11.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
9,0,4.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
6,0,0.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
14,0,29.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
17,0,45.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
19,0,107.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
11,0,39.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
20,0,18.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
13,0,0.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
19,0,18.0,1,0,1,0,0,0,0,0,0,0,,,0.14285714285714285,0.8571428571428571
10,0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
8,0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
7,0,4.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
4,0,98.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
17,0,18.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
5,0,43.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
12,0,29.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
14,0,57.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
15,0,11.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
3,0,0.0,3,0,0,0,1,0,0,1,0,1,,,0.3333333333333333,0.6666666666666666
18,0,117.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
1,1,177.0,4,0,0,1,0,1,0,0,1,0,,,0.3333333333333333,0.6666666666666666
6,0,23.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
16,0,2.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
9,0,176.0,2,1,0,0,0,0,1,0,0,0,,,0.25,0.75
2,0,154.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
9,0,56.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
15,0,10.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
4,0,202.0,4,1,0,0,1,0,1,0,0,1,0,0.5,0.4,0.6
2,0,169.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
3,0,188.0,2,0,1,0,0,0,0,1,0,0,0,,0.2222222222222222,0.7777777777777778
13,0,23.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
18,0,18.0,0,0,0,0,0,0,0,0,0,,,,0.0,1.0
20,0,117.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
16,0,35.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
17,0,11.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
12,0,45.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
1,1,0.0,4,0,0,0,0,1,0,0,1,0,1,-0.3,0.3,0.7
5,0,116.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
7,0,1.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
11,0,4.0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.0,1.0
13,0,56.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
6,0,18.0,1,0,0,0,1,0,0,0,0,0,0,,0.125,0.875
16,0,67.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
9,0,4.0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.0,1.0
11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
4,0,179.0,0,0,0,0,0,0,0,0,0,0,0,-1.9,0.0,1.0
14,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
17,0,132.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
15,0,11.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
19,0,36.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
2,0,0.0,4,1,0,0,0,0,1,0,0,1,0,-0.4,0.36363636363636365,0.6363636363636364
1,1,220.0,5,0,1,0,0,1,0,1,0,0,1,0.6,0.36363636363636365,0.6363636363636364
12,0,10.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
8,0,27.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
3,0,213.0,2,0,0,1,0,0,0,0,1,0,0,0.4,0.2,0.8
7,0,47.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
16,0,24.0,1,0,0,0,0,1,0,0,0,0,0,,0.1111111111111111,0.8888888888888888
2,0,11.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
8,0,36.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
19,0,1.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
3,0,4.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
15,0,58.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
12,0,24.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
11,0,144.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
14,0,55.0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0,1.0
20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
13,0,138.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
6,0,0.0,4,0,1,0,0,0,0,1,0,0,1,-0.4,0.3333333333333333,0.6666666666666666
4,0,238.0,2,0,0,0,1,0,0,0,0,1,0,0.2,0.18181818181818182,0.8181818181818182
10,0,31.0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,1.0
5,0,197.0,0,0,0,0,0,0,0,0,0,0,0,-1.9,0.0,1.0
9,0,10.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
7,0,68.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
1,1,235.0,6,1,0,1,0,0,1,0,1,0,0,0.6,0.4166666666666667,0.5833333333333334
5,1,235.0,7,1,1,0,1,0,0,1,0,1,0,0.6,0.46153846153846156,0.5384615384615384
11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
17,0,68.0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.0,1.0
9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
10,0,68.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
12,0,31.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,1.0
6,0,263.0,2,0,0,0,0,1,0,0,0,0,1,0.7,0.16666666666666666,0.8333333333333334
3,0,28.0,1,0,0,0,0,0,1,0,0,0,0,4.7,0.1,0.9
18,0,11.0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.0,1.0
15,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.0,1.0
19,0,26.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
14,0,4.0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0,1.0
13,0,11.0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.0,1.0
5,0,281.0,2,0,0,0,0,0,1,0,0,0,0,1.2,0.15384615384615385,0.8461538461538461
17,0,10.0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0,1.0
9,0,33.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,1.0
20,0,0.0,4,0,0,0,1,0,0,0,0,1,0,-0.3,0.3076923076923077,0.6923076923076923
19,0,177.0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.0,1.0
4,0,32.0,1,0,0,0,0,0,0,1,0,0,0,4.7,0.09090909090909091,0.9090909090909091
6,0,4.0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,1.0
3,1,138.0,1,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
16,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.0,1.0
8,0,57.0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0,1.0
1,0,247.0,7,1,1,1,0,1,0,0,1,0,1,1.0,0.5,0.5
18,0,26.0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.0,1.0
10,0,13.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
11,0,93.0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.0,1.0
12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
7,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,1.0
6,0,306.0,2,0,0,0,0,0,0,1,0,0,0,1.0,0.14285714285714285,0.8571428571428571
4,0,148.0,1,1,0,0,0,0,0,0,0,0,0,,0.125,0.875
20,0,13.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
13,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.0,1.0
12,0,10.0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,1.0
10,0,234.0,0,0,0,0,0,0,0,0,0,0,0,-1.8,0.0,1.0
1,1,247.0,8,0,1,1,1,0,1,0,0,1,0,0.9,0.4666666666666667,0.5333333333333333
17,0,28.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0
14,0,0.0,0,0,,,,,,,,,,,0.0,1.0
9,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
8,0,111.0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.0,1.0
5,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,1.0
3,0,32.0,1,0,0,0,0,0,0,0,1,0,0,4.9,0.08333333333333333,0.9166666666666666
17,0,10.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
5,0,244.0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0.0,1.0
15,0,15.0,0,0,0,0,0,0,0,0,0,0,0,3.9,0.0,1.0
6,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
13,0,192.0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.0,1.0
16,0,163.0,1,0,1,0,0,0,0,0,0,0,0,,0.1111111111111111,0.8888888888888888
1,1,265.0,9,1,0,1,1,1,0,1,0,0,1,0.3,0.5,0.5
20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.0,1.0
3,0,331.0,2,0,0,0,0,0,0,0,1,0,0,1.3,0.13333333333333333,0.8666666666666667
9,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
2,0,0.0,4,0,0,0,0,0,1,0,0,0,0,1.4,0.2857142857142857,0.7142857142857143
10,0,123.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
12,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.0,1.0
7,0,86.0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.0,1.0
11,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,1.0
5,0,262.0,0,0,0,0,0,0,0,0,0,0,0,-1.1,0.0,1.0
9,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
20,0,0.0,0,0,0,,,,,,,,,,0.0,1.0
19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,1.0
4,0,333.0,2,0,0,0,0,0,0,0,0,1,0,1.0,0.125,0.875
18,0,13.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
2,1,178.0,2,0,0,1,0,0,0,0,0,0,0,3.3,0.1,0.9
15,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.0,1.0
6,0,5.0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,1.0
14,0,11.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
1,0,0.0,4,0,0,0,0,0,0,1,0,0,0,1.4,0.26666666666666666,0.7333333333333333
11,0,19.0,0,0,0,0,0,0,0,0,0,0,0,4.1,0.0,1.0
3,0,277.0,9,1,1,0,1,1,1,0,1,0,0,0.3,0.5294117647058824,0.47058823529411764
13,0,28.0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.0,1.0
10,0,148.0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.0,1.0
20,0,302.0,9,0,1,1,0,1,1,1,0,1,0,0.1,0.5,0.5
14,0,40.0,1,0,0,0,0,0,0,0,0,0,0,4.6,0.07692307692307693,0.9230769230769231
9,0,158.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0
19,0,0.0,0,0,0,0,,,,,,,,,0.0,1.0
5,0,42.0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,1.0
2,1,0.0,5,0,0,0,0,0,0,0,1,0,0,1.0,0.25,0.75
1,0,345.0,2,0,0,0,0,0,0,0,0,0,1,1.2,0.11764705882352941,0.8823529411764706
16,0,19.0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.0,1.0
3,0,280.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
7,0,83.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0,1.0
17,0,200.0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.0,1.0
4,0,193.0,2,1,0,0,1,0,0,0,0,0,0,3.4,0.18181818181818182,0.8181818181818182
6,0,13.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
11,0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0
8,0,94.0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.0,1.0
15,0,28.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
2,0,317.0,9,0,0,1,1,0,1,1,1,0,1,1.3,0.47368421052631576,0.5263157894736842
10,0,168.0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.0,1.0
17,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
8,0,43.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
3,0,0.0,5,1,0,0,0,0,0,0,0,1,0,1.3,0.29411764705882354,0.7058823529411765
1,1,363.0,3,0,0,0,0,0,0,0,0,0,0,1.1,0.1111111111111111,0.8888888888888888
5,0,305.0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0,1.0
15,0,19.0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,1.0
14,0,17.0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.0,1.0
9,0,5.0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,1.0
11,0,13.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
7,0,87.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
16,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.0,1.0
13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0
6,0,205.0,2,0,1,0,0,1,0,0,0,0,0,2.0,0.16666666666666666,0.8333333333333334
19,0,200.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
20,0,0.0,0,0,0,0,,,,,,,,,0.0,1.0
18,0,28.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
7,0,22.0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0.0,1.0
20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.0,1.0
3,0,6.0,0,0,1,0,0,0,0,0,0,0,0,1.1,0.0,1.0
1,1,12.0,2,1,0,1,0,0,0,0,0,0,0,1.5,1.0,0.0
10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0
19,0,10.0,0,0,,,,,,,,,,,0.0,1.0
11,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
14,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.0,1.0
8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
