grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,last_6,last_7,last_8,last_9,last_10,rolling_avg_pos_move_10,propensity_1,propensity_0
2,0,37.0,2,0,0,1,1,0,0,0,0,0,0,-0.4,0.14285714285714285,0.8571428571428571
7,0,66.0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.0,1.0
11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.6,0.0,1.0
18,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
13,0,21.0,0,0,0,0,0,0,0,0,0,0,0,-2.3,0.0,1.0
10,0,34.0,0,0,0,0,0,0,0,0,0,0,0,-1.2,0.0,1.0
3,1,338.0,3,0,0,0,0,0,0,0,0,0,0,-0.2,0.13333333333333333,0.8666666666666667
17,0,35.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0
9,0,212.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
8,0,75.0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0,1.0
19,0,31.0,0,0,0,0,0,0,0,0,0,0,0,-3.5,0.0,1.0
0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0,1.0
12,0,64.0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.0,1.0
4,0,212.0,9,1,0,0,0,1,0,1,0,1,1,-0.6,0.5625,0.4375
1,0,20.0,1,0,1,0,0,0,0,0,0,0,0,0.9,0.06666666666666667,0.9333333333333333
6,0,4.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
12,0,236.0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0,1.0
4,0,34.0,2,0,0,0,0,0,0,1,0,1,0,2.0,0.13333333333333333,0.8666666666666667
20,0,8.0,0,0,0,0,0,0,0,0,0,0,0,-2.2,0.0,1.0
3,1,230.0,10,0,1,0,0,0,1,0,1,0,1,-0.6,0.5294117647058824,0.47058823529411764
16,0,77.0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,1.0
10,0,74.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
17,0,31.0,0,0,0,0,0,0,0,0,0,0,0,-3.2,0.0,1.0
13,0,76.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
7,0,34.0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.0,1.0
11,0,35.0,0,0,0,0,0,0,0,0,0,0,0,3.9,0.0,1.0
9,0,289.0,0,0,0,0,0,0,0,0,0,0,0,4.3,0.0,1.0
2,0,20.0,1,0,0,1,0,0,0,0,0,0,0,0.6,0.0625,0.9375
18,0,38.0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0.0,1.0
15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.8,0.0,1.0
1,0,43.0,2,0,0,0,1,1,0,0,0,0,0,-0.8,0.13333333333333333,0.8666666666666667
19,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
6,0,363.0,3,1,0,0,0,0,0,0,0,0,0,0.1,0.1875,0.8125
5,0,4.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
17,0,37.0,0,0,0,0,0,0,0,0,0,0,0,-1.9,0.0,1.0
16,0,84.0,0,0,0,0,0,0,0,0,0,0,0,-1.6,0.0,1.0
1,1,35.0,4,0,1,0,0,0,0,0,0,0,0,0.2,0.17647058823529413,0.8235294117647058
4,0,230.0,2,0,0,0,0,1,1,0,0,0,0,-1.1,0.125,0.875
6,0,44.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
11,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
18,0,4.0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,1.0
3,0,381.0,2,0,0,0,0,0,0,0,1,0,1,1.9,0.125,0.875
15,0,1.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0
7,0,46.0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.0,1.0
9,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,1.0
13,0,21.0,0,0,0,0,0,0,0,0,0,0,0,4.1,0.0,1.0
0,0,41.0,0,0,0,0,0,0,0,0,0,0,0,3.9,0.0,1.0
8,0,77.0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0,1.0
12,0,249.0,0,0,0,0,0,0,0,0,0,0,0,-2.1,0.0,1.0
10,0,34.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
14,0,31.0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,1.0
5,0,314.0,10,1,0,1,0,0,0,1,0,1,0,-0.4,0.5555555555555556,0.4444444444444444
10,0,95.0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0,1.0
20,0,54.0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.0,1.0
9,0,249.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0
19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2.1,0.0,1.0
5,0,46.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
18,0,14.0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.0,1.0
12,0,84.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
1,1,387.0,3,0,0,0,0,0,0,0,0,1,0,1.5,0.11764705882352941,0.8823529411764706
2,0,260.0,1,0,0,0,0,1,0,0,0,0,0,0.7,0.058823529411764705,0.9411764705882353
7,0,1.0,0,0,0,0,0,0,0,0,0,0,0,-1.3,0.0,1.0
16,0,21.0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.0,1.0
11,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.0,1.0
13,0,20.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
14,0,230.0,2,0,0,0,0,0,1,1,0,0,0,-1.1,0.11764705882352941,0.8823529411764706
17,0,43.0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.0,1.0
15,0,45.0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.0,1.0
3,0,314.0,10,0,1,0,1,0,0,0,1,0,1,0.0,0.5263157894736842,0.47368421052631576
8,0,37.0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0.0,1.0
6,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
11,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,1.0
19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.8,0.0,1.0
10,0,49.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0
16,0,92.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
6,0,95.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
17,0,37.0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0.0,1.0
1,1,326.0,11,0,0,1,0,1,0,0,0,1,0,-0.5,0.5,0.5
18,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
8,0,54.0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.0,1.0
13,0,21.0,0,0,0,0,0,0,0,0,0,0,0,4.4,0.0,1.0
7,0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
9,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
14,0,264.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0
20,0,95.0,4,0,1,0,1,0,0,0,0,0,0,0.2,0.2222222222222222,0.7777777777777778
4,0,278.0,1,0,0,0,0,0,1,0,0,0,0,-1.0,0.05555555555555555,0.9444444444444444
5,0,52.0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,1.0
15,0,1.0,0,0,0,0,0,0,0,0,0,0,0,-1.9,0.0,1.0
3,0,240.0,2,0,0,0,0,0,0,1,1,0,0,-1.4,0.1111111111111111,0.8888888888888888
2,0,413.0,3,1,0,0,0,0,0,0,0,0,1,1.5,0.16666666666666666,0.8333333333333334
9,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
19,0,4.0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0,1.0
13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0
3,0,37.0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.0,1.0
17,0,13.0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,1.0
6,0,1.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0,1.0
7,0,16.0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0,1.0
1,1,26.0,1,0,1,0,0,1,0,1,0,0,0,0.2,0.0,1.0
4,0,25.0,1,1,0,0,1,0,1,0,0,0,0,1.9,1.0,0.0
18,0,1.0,0,0,,,,,,,,,,,0.0,1.0
5,0,1.0,0,0,0,0,0,0,0,0,0,1,0,-0.5,0.0,1.0
0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,-2.3,0.0,1.0
20,0,6.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0,1.0
3,0,33.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.0,1.0
2,0,18.0,1,0,1,0,0,1,0,1,0,0,0,2.7,0.5,0.5
6,0,63.0,0,0,0,0,0,0,0,0,0,0,1,-0.9,0.0,1.0
13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.7,0.0,1.0
15,0,0.0,0,0,0,,,,,,,,,,0.0,1.0
7,0,15.0,0,0,0,0,1,0,0,0,0,0,0,1.4,0.0,1.0
14,0,9.0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.0,1.0
8,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,1.0
4,0,4.0,0,0,0,0,0,0,0,0,0,0,0,3.9,0.0,1.0
19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
9,0,58.0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0,1.0
17,0,22.0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.0,1.0
1,1,22.0,2,1,0,1,0,0,1,0,1,0,0,0.1,0.5,0.5
0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.0,1.0
11,0,26.0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.0,1.0
18,0,1.0,0,0,0,0,,,,,,,,,0.0,1.0
3,0,96.0,0,0,0,0,0,1,0,0,0,0,0,1.8,0.0,1.0
17,0,1.0,0,0,0,0,0,0,0,0,0,0,0,-3.8,0.0,1.0
20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.1,0.0,1.0
10,0,0.0,0,0,0,0,0,0,0,0,0,0,1,-2.4,0.0,1.0
4,0,36.0,0,0,0,0,0,0,0,0,0,0,0,-1.4,0.0,1.0
7,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
9,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
11,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
2,0,33.0,1,0,0,1,0,0,1,0,1,0,0,2.5,0.3333333333333333,0.6666666666666666
8,0,52.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
6,0,20.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
1,1,15.0,3,1,1,0,1,0,0,1,0,1,0,0.2,0.6666666666666666,0.3333333333333333
16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,1.0
15,0,10.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0
5,0,88.0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0,1.0
14,0,12.0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,1.0
12,0,107.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
6,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
7,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
20,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
19,0,16.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,1.0
2,0,38.0,3,1,1,1,0,1,0,0,1,0,1,0.4,0.75,0.25
18,0,10.0,0,0,0,0,0,,,,,,,,0.0,1.0
9,0,2.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0,1.0
13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3.3,0.0,1.0
4,1,20.0,1,0,0,0,0,0,1,0,0,0,0,2.0,0.0,1.0
8,0,73.0,0,0,0,0,0,0,0,0,0,0,0,-1.3,0.0,1.0
11,0,2.0,0,0,0,0,0,0,0,0,0,0,0,-2.6,0.0,1.0
10,0,45.0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.0,1.0
5,0,28.0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.0,1.0
16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.0,1.0
1,0,0.0,1,0,0,0,1,0,0,1,0,1,0,1.5,0.25,0.75
5,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.0,1.0
10,0,32.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0,1.0
16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.3,0.0,1.0
14,0,40.0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.0,1.0
2,0,6.0,1,0,0,0,0,1,0,0,1,0,1,1.3,0.2,0.8
20,0,16.0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.0,1.0
13,0,40.0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.0,1.0
4,0,23.0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.0,1.0
8,0,45.0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0,1.0
7,0,132.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.0,1.0
15,0,14.0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.0,1.0
11,0,2.0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0.0,1.0
17,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3.3,0.0,1.0
3,0,20.0,1,1,0,0,0,0,0,1,0,0,0,1.2,0.25,0.75
18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,1.0
6,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
19,0,16.0,0,0,0,0,0,0,,,,,,,0.0,1.0
1,1,39.0,4,0,1,1,1,0,1,0,0,1,0,0.3,0.6,0.4
1,1,45.0,5,1,0,1,1,1,0,1,0,0,1,0.2,0.6666666666666666,0.3333333333333333
16,0,48.0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.0,1.0
3,0,33.0,1,0,1,0,0,0,0,0,1,0,0,1.2,0.2,0.8
17,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4.1,0.0,1.0
13,0,107.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
8,0,23.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
14,0,2.0,0,0,0,0,0,0,0,0,0,0,0,-1.2,0.0,1.0
12,0,33.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
6,0,18.0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.0,1.0
10,0,45.0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0,1.0
20,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
4,0,42.0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,1.0
11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.0,1.0
9,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.0,1.0
2,0,6.0,1,0,0,0,0,0,1,0,0,1,0,1.0,0.16666666666666666,0.8333333333333334
5,0,2.0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.0,1.0
19,0,16.0,0,0,0,0,0,0,0,,,,,,0.0,1.0
11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.0,1.0
4,0,41.0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.0,1.0
19,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
10,1,34.0,1,0,0,0,0,0,0,0,0,0,0,-0.6,0.0,1.0
12,0,43.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1.0
3,0,164.0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,1.0
6,0,45.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
2,0,6.0,1,0,0,0,0,0,0,1,0,0,1,0.8,0.14285714285714285,0.8571428571428571
18,0,30.0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,1.0
8,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
9,0,4.0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0,1.0
7,0,57.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,1.0
1,0,57.0,5,1,1,0,1,1,1,0,1,0,0,0.0,0.7142857142857143,0.2857142857142857
16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3.6,0.0,1.0
14,0,48.0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,1.0
20,0,16.0,0,0,0,0,0,0,0,0,,,,,0.0,1.0
8,0,57.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,1.0
11,0,49.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,1.0
12,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.0,1.0
15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3.3,0.0,1.0
4,0,10.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0
2,0,6.0,1,0,0,0,0,0,0,0,1,0,0,0.2,0.125,0.875
5,0,135.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0,1.0
7,0,41.0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,1.0
14,0,2.0,0,0,0,0,0,0,0,0,0,0,0,-1.3,0.0,1.0
13,0,63.0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.0,1.0
1,1,65.0,6,0,1,1,0,1,1,1,0,1,0,-0.9,0.625,0.375
18,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.0,1.0
10,0,58.0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.0,1.0
5,0,57.0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,1.0
17,0,36.0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.0,1.0
1,0,65.0,6,1,0,1,1,0,1,1,1,0,1,-0.5,0.6666666666666666,0.3333333333333333
18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,1.0
13,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,1.0
20,0,17.0,0,0,0,0,0,0,0,0,0,0,,,0.0,1.0
3,1,0.0,2,0,0,0,0,0,0,0,0,1,0,0.2,0.1111111111111111,0.8888888888888888
11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.0,1.0
7,0,45.0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.0,1.0
8,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,1.0
2,0,63.0,1,0,0,0,0,1,0,0,0,0,0,0.7,0.16666666666666666,0.8333333333333334
19,0,64.0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.0,1.0
15,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3.0,0.0,1.0
4,0,41.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
14,0,2.0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0,1.0
9,0,56.0,1,0,1,0,0,0,0,0,0,0,0,0.2,0.14285714285714285,0.8571428571428571
12,0,68.0,1,0,0,1,0,0,0,0,0,0,0,0.8,0.125,0.875
14,0,36.0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.0,1.0
6,0,57.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
2,1,65.0,7,0,1,0,1,1,0,1,1,1,0,-0.7,0.6,0.4
10,0,230.0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,1.0
15,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
9,0,51.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
4,0,161.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.0,1.0
3,0,78.0,1,0,0,0,0,0,1,0,0,0,0,0.9,0.14285714285714285,0.8571428571428571
11,0,3.0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0.0,1.0
19,0,64.0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.0,1.0
16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0.0,1.0
20,0,147.0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.0,1.0
18,0,17.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0
1,1,65.0,8,1,0,1,0,1,1,0,1,1,1,-0.7,0.6363636363636364,0.36363636363636365
14,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,1.0
4,0,179.0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0.0,1.0
10,0,57.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1.8,0.0,1.0
5,0,59.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,1.0
9,0,74.0,1,0,0,0,1,0,0,0,0,0,0,1.0,0.1111111111111111,0.8888888888888888
17,0,40.0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.0,1.0
13,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,1.0
15,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,1.0
19,0,2.0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0,1.0
6,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,1.0
3,0,80.0,1,0,0,0,0,0,0,1,0,0,0,1.0,0.125,0.875
11,0,63.0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.0,1.0
20,0,18.0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.0,1.0
2,0,10.0,2,0,1,0,0,0,0,0,0,0,0,-1.2,0.2,0.8
16,0,64.0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.0,1.0
8,0,75.0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,1.0
7,0,256.0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.0,1.0
5,0,57.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,1.0
20,0,40.0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.0,1.0
2,1,69.0,9,1,1,0,1,0,1,1,0,1,1,-0.7,0.6666666666666666,0.3333333333333333
6,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,1.0
18,0,64.0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.0,1.0
1,0,10.0,2,0,0,1,0,0,0,0,0,0,0,-1.2,0.18181818181818182,0.8181818181818182
15,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0
9,0,85.0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0,1.0
16,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0,1.0
8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.0,1.0
